Categories,num_corr,num_total,acc
bird,166.0,182.0,91.209%
boat,173.0,200.0,86.5%
bridge,204.0,213.0,95.775%
building,180.0,202.0,89.109%
bus,58.0,185.0,31.351%
car,152.0,205.0,74.146%
people,163.0,194.0,84.021%
plane,207.0,231.0,89.61%
streetlamp,158.0,171.0,92.398%
train,157.0,206.0,76.214%
tree,199.0,202.0,98.515%
truck,105.0,171.0,61.404%
