Categories,num_corr,num_total,acc
bird,155.0,182.0,85.165%
boat,174.0,200.0,87.0%
bridge,206.0,213.0,96.714%
building,186.0,202.0,92.079%
bus,70.0,185.0,37.838%
car,152.0,205.0,74.146%
people,164.0,194.0,84.536%
plane,207.0,231.0,89.61%
streetlamp,157.0,171.0,91.813%
train,159.0,206.0,77.184%
tree,199.0,202.0,98.515%
truck,108.0,171.0,63.158%
