Categories,num_corr,num_total,acc
bird,161.0,182.0,88.462%
boat,175.0,200.0,87.5%
bridge,208.0,213.0,97.653%
building,181.0,202.0,89.604%
bus,65.0,185.0,35.135%
car,155.0,205.0,75.61%
people,163.0,194.0,84.021%
plane,208.0,231.0,90.043%
streetlamp,160.0,171.0,93.567%
train,169.0,206.0,82.039%
tree,198.0,202.0,98.02%
truck,106.0,171.0,61.988%
