Categories,num_corr,num_total,acc
bird,151.0,182.0,82.967%
boat,170.0,200.0,85.0%
bridge,205.0,213.0,96.244%
building,164.0,202.0,81.188%
bus,75.0,185.0,40.541%
car,147.0,205.0,71.707%
people,158.0,194.0,81.443%
plane,199.0,231.0,86.147%
streetlamp,159.0,171.0,92.982%
train,134.0,206.0,65.049%
tree,197.0,202.0,97.525%
truck,94.0,171.0,54.971%
