Categories,num_corr,num_total,acc
bird,152.0,182.0,83.516%
boat,171.0,200.0,85.5%
bridge,205.0,213.0,96.244%
building,177.0,202.0,87.624%
bus,71.0,185.0,38.378%
car,136.0,205.0,66.341%
people,159.0,194.0,81.959%
plane,201.0,231.0,87.013%
streetlamp,158.0,171.0,92.398%
train,138.0,206.0,66.99%
tree,195.0,202.0,96.535%
truck,103.0,171.0,60.234%
