Categories,num_corr,num_total,acc
bird,139.0,182.0,76.374%
boat,171.0,200.0,85.5%
bridge,195.0,213.0,91.549%
building,166.0,202.0,82.178%
bus,80.0,185.0,43.243%
car,139.0,205.0,67.805%
people,155.0,194.0,79.897%
plane,193.0,231.0,83.55%
streetlamp,152.0,171.0,88.889%
train,134.0,206.0,65.049%
tree,191.0,202.0,94.554%
truck,94.0,171.0,54.971%
