Categories,num_corr,num_total,acc
bird,166.0,182.0,91.209%
boat,170.0,200.0,85.0%
bridge,209.0,213.0,98.122%
building,184.0,202.0,91.089%
bus,60.0,185.0,32.432%
car,151.0,205.0,73.659%
people,164.0,194.0,84.536%
plane,207.0,231.0,89.61%
streetlamp,161.0,171.0,94.152%
train,144.0,206.0,69.903%
tree,195.0,202.0,96.535%
truck,104.0,171.0,60.819%
