Categories,num_corr,num_total,acc
bird,156.0,182.0,85.714%
boat,174.0,200.0,87.0%
bridge,204.0,213.0,95.775%
building,178.0,202.0,88.119%
bus,61.0,185.0,32.973%
car,146.0,205.0,71.22%
people,162.0,194.0,83.505%
plane,197.0,231.0,85.281%
streetlamp,158.0,171.0,92.398%
train,154.0,206.0,74.757%
tree,194.0,202.0,96.04%
truck,102.0,171.0,59.649%
